Lemma,Soort,Standaard,Aangetroffen,URI
almenak,voorwerp,almenak,almanach,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenak,almenach,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenakje,,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenakjes,,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenak,voorwerp,almenakken,,https://data.goldenagents.org/boedellexicon/voorwerp/almenak
almenakbordje,voorwerp,almenakbordje,almanachbortje,https://data.goldenagents.org/boedellexicon/voorwerp/almenakbordje
almenakbordje,voorwerp,almenakbordjes,,https://data.goldenagents.org/boedellexicon/voorwerp/almenakbordje
anatomia,titelwoord,anatomia,anatomia,https://data.goldenagents.org/boedellexicon/titelwoord/anatomia
anatomie,voorwerp,anatomie,,https://data.goldenagents.org/boedellexicon/voorwerp/anatomie
Andromeda,eigennaam,Andromeda,Andromeda,https://data.goldenagents.org/boedellexicon/eigennaam/Andromeda
Antheunis,eigennaam,Antheunis,Antheunis,https://data.goldenagents.org/boedellexicon/eigennaam/Antheunis
Antheunis,eigennaam,Antheunis,Antheunis,https://data.goldenagents.org/boedellexicon/eigennaam/Antheunis
antiek,eigenschap,antiek,antic,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
antiek,eigenschap,antieke,anticque,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
antiek,eigenschap,antieke,antijck,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
antiek,eigenschap,antieke,antijxe,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
antiek,eigenschap,antieke,antique,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
antiek,eigenschap,antieke,antycks,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
antiek,eigenschap,antieke,antyq,https://data.goldenagents.org/boedellexicon/eigenschap/antiek
apenrok,voorwerp,apenrok,apenrock,https://data.goldenagents.org/boedellexicon/voorwerp/apenrok
apenrok,voorwerp,apenrok,aep rock,https://data.goldenagents.org/boedellexicon/voorwerp/apenrok
apenrok,voorwerp,apenrokje,apenrockgen,https://data.goldenagents.org/boedellexicon/voorwerp/apenrok
apenrok,voorwerp,apenrokjes,aeprockjes,https://data.goldenagents.org/boedellexicon/voorwerp/apenrok
apenrok,voorwerp,apenrokken,aperocken,https://data.goldenagents.org/boedellexicon/voorwerp/apenrok
apenrok,voorwerp,apenrokken,aep rocken,https://data.goldenagents.org/boedellexicon/voorwerp/apenrok
apotheker,beroep,apotheker,apotheecker,https:/www.vondel.humanities.uva.nl/ecartico/occupations/7
apotheker,beroep,apothekers,apotheeckers,https:/www.vondel.humanities.uva.nl/ecartico/occupations/7
appelboor,voorwerp,appelboor,,https://data.goldenagents.org/boedellexicon/voorwerp/appelboor
appelboor,voorwerp,appelboren,appelboren,https://data.goldenagents.org/boedellexicon/voorwerp/appelboor
appelbrader,voorwerp,appelbrader,appelbrader,https://data.goldenagents.org/boedellexicon/voorwerp/appelbrader
appelbrader,voorwerp,appelbraders,,https://data.goldenagents.org/boedellexicon/voorwerp/appelbrader
arbeider,beroep,arbeider,arbeijder,https:/www.vondel.humanities.uva.nl/ecartico/occupations/606
arbeider,beroep,arbeider,arbeyder,https:/www.vondel.humanities.uva.nl/ecartico/occupations/606
arbeider,beroep,arbeiders,arbeijders,https:/www.vondel.humanities.uva.nl/ecartico/occupations/606
arbeider,beroep,arbeiders,arbeyders,https:/www.vondel.humanities.uva.nl/ecartico/occupations/606
armslag,voorwerp,armslag,,https://data.goldenagents.org/boedellexicon/voorwerp/armslag
armslag,voorwerp,armslagen,armslagen,https://data.goldenagents.org/boedellexicon/voorwerp/armslag
asaker,voorwerp,asaker,asaker,https://data.goldenagents.org/boedellexicon/voorwerp/asaker
asaker,voorwerp,asakers,,https://data.goldenagents.org/boedellexicon/voorwerp/asaker
asbezem,voorwerp,asbezem,asbeesem,https://data.goldenagents.org/boedellexicon/voorwerp/asbezem
asbezem,voorwerp,asbezem,aschbessems,https://data.goldenagents.org/boedellexicon/voorwerp/asbezem
asketel,voorwerp,asketel,aschketel,https://data.goldenagents.org/boedellexicon/voorwerp/asketel
asketel,voorwerp,asketels,aschketels,https://data.goldenagents.org/boedellexicon/voorwerp/asketel
