object,object_en
Cannen,Jugs
cannetjen,Jug
cantjes,Jugs
Cantoorkleet,Office carpet
Cantoortafel,Office table
caper,
Capers,
capijen,
capittelstokje,
Capstock,Coast rack
careant,
Carolijnen,
Carolussen,
Carpetdeecken,
casjet,
Casse,
cast,Closet
Castgen,Small closet
castjen,Small closet
Cattoun,
Charge,
Charp,
Chaufoir,
Christustroni,
Christustronie,
Cimbel,
cintuur,
cintuurgesp,
clabbeeckijes,
clapmuts,
Clapmutsen,
Clapmutsjens,
clapmutsjes,
clapmuttzjes,
clapmutz,
Clavecimbel,Harpsichord
Clavesimbael,Harpsichord
Clavesimbel,Harpsichord
clederen,Clothes
Cleermanden,Clothes basket
Cleerstocken,
Cleerstokken,
Cleertaeffel,
Cleertafel,
Cleet,Carpet
cleetien,Small carpet
Clickers,
clouxjens,
Cluchten,
Cnaap,
Coffer,Suitcase
Coffertgen,
Coffijkan,Coffee can
Colloquia,
Com,Bowl
Comfoor,Comfort
Commen,Bowls
commetjes,
Comptoirstoel,Office chair
Comptoirtje,
Concordantie,
Confoor,Comfort
conterefeijtsels,
Conterfeijstels,
conterfeijtschilderije ,
conterfeijtsel,
Conterfeijtsels,
conterfejtsel,
conterfeytsel,
conterfijtschilderije,
conterfijtschilderijen,
contirfeijtseltges,
contrafeijtsel ,
contrafeijtsels ,
contrefeijtsel ,
Contrefeijtsels,
contrefeijtzel ,
contrefeijtzeltiens,
Convoir,Comfort
convoor,Comfort
coopiens,Little cups
Coord,Cord
coostjes,
Cop,Cup
coperplaetje,
Copgens,Little cups
Copie,
copijties,
Copjes,
coppen,Cups
coppjen,
coppjes,
copye,
copytje,
Corchet,
corchethaak,
Corrigeerbanck,
Corrigeertaeffel,
Corsjet,
corsjethaaken,
coulang,
cousen,
craaltjes,
Craeckkommen,
Cralen,
crapper,
Cronijck,Chronicle
crucifix,Crucifix
cruijcifix,Crucifix
cruijs,Cross
Cruijsaden,
Cruijseficx,Crucifix
cruycefix,Crucifix
cruyseficks,Crucifix
cruyseficx,Crucifix
cruysefix,Crucifix
Cuijpgens,
cunst,Art
cussens,Pillows
Custingsbrieff,
Daelder,
Daelders,
Damiaat,
Das,
Dasjens,
Dassen,
dassjes,
decken,Blanket
deckseltie,
deckseltjen,
Decreetbrieff,
Decxel,
Decxeltjens,
Deecken,Blanket
Deeckens,Blankets
Deegen,Epee
Deegens,Epees
Deeken,Blanket
Degens,Epees
Deghen,Epee
dekbed,
Deken,Blanket
dekentie,
Deksels,
Deurslach,
Deurslagh,
Dexeltje,
Diamant,Diamond
diamanten,Diamonds
Diamantje,Small diamond
diamantjen,Small diamond
diamantjes,Small diamonds
diamentsteentjes,
dissels,
Disteleerketel,
Dobbelsteenen,Dices
dobbesteen,Dice
Documenten,Documents
Doeck,Cloth
doecken,Cloths
Doeckenhuijven,
doeckhuijken,
Doeckhuijven,
doeckijes,
Doekehuijven,
Dompertje,
Doodskist,
Dooffpott,
Dooffpotten,
doofpot,
Doofpotje,
doofpotte,
Doopluyer,
Doos,Box
Doosen,Boxes
Doosje,
doosjen,
Doossen,
Doothembdt,Scaredy
Dootpenningh,
Dootschult,
Dootshoffden,
Dootshoof,
Dootshoofd,
dootshoofden,
dootshooffden,
Dootshooft,
dootshooftschilderij,
