object,object_en
Prentbortje,Small picture board
prentbortjens,Small picture boards
prentbotje,Small picture board
prentebort,Picture board
prenten,Prints
princteborden,Picture boards
Print,Print
Printebordtjens,Small picture boards
printeborretge,Small picture board
printeborretgens ,Small picture boards
printeborritjes ,Small picture boards
printebortjens,Small picture boards
printen ,Prints
printgens ,Small prints
Printiens,Small prints
Printje,Small print
Printjes,Small prints
printten,Prints
Processtucken,
proeffsilver,
Pronckkussens,
prospectyf,
Prullen,
prulleties,
prulletjes,
Psalmboeckje,
Puele,
puelelackens,
Puelen,
Pulluwen,
punthaaken,
Puthaack,
Pyck,
quarde quus,
Quartje,
Quast,
Quasten,
Quijtscheldingh,
racken,
Rackje,
Rackjens,
Raeghboll,
raemschaefjens,
Rariteijten,
Raspe,
Raspjens,
Reael,
rechtbanck,
Rechtbanckje,
Recipisse,
reckijen,
Reckplaet,
Reeckeningen,
reegekleet,
Regenkleet,
Reijsmantel,
Reijsmanteltge,
Reijsmanteltje,
Reijsrock,
Reijssack,Travel bag
Reijssak,
Reijssakje,
Rekje,
Rialen,
Rijcxdaelders,Rix-dollar
Rijder,
Rijders,
Rijdtrock,
Rijff,
Rijghlijven,
rijgnaalden,
Rijksdaalders,
rijschaven,
rijssakken,
Rijtrock,
rijtrock,
rinck,Ring
ring,Ring
Ringen,Rings
ringeties,Small Rings
Ringetje,Small ring
Ringetjens,Small Rings
ringetjes,Small Rings
Ringh,Ring
ringhen,Rings
robijntjens,Rubies
robijntjes,Rubies
Rock,
roe,
Roeck,
roede,
Roeden,
Roef,
Roeijen,
Roemer,
Roemers,
roffelschaven,
Rok,
Rokke,
Roll,
Rolletgens,
Rolletjens,
Rolwagens,
Rolwagenties,
Romer,
Romers,
Rommeling,
rondekens,
rondetjens,
Roomer,
Rooskom,
Rooskommen,
Roosringh,
rooste,
Roosters,
rooswerck,
Rosenobels,
roster,
Rottingh,
rottingknop,
Roubanden,
rouw Japon,
rouw Japonnen,
Rouwmantel,
Rouwmantels,
roverijtge,Painting of a robbery
roverijtien,Painting of a robbery
Ruijntje,Painting of a ruin
ruinentje,Painting of a ruin
Rustbanck,
ruwyntgen,Painting of a ruin
Ruyn-lantschapschilderij,Painting of a ruin in a landscape
Ruyntge,Painting of a ruin
Ruyntje,Painting of a ruin
Sack,
sackhorologie,Pocket watch
Sackjens,
Sackjes,
Sackneusdoecken,
sacksken,
Sacxke,
Saegh,Saw
saeghheften,
sagen,Saws
Sakdoecken,Handkerchiefs
sakredanekas,
Salaetemmertje,
salmboekje,
Sante,
Santeen,
Santseef,
saphier,
Sarvet,Napkin
Sarvetgoet,
Sarvetten,Napkins
Sarvietjens,
Sarviett,Napkin
Sarvietten,Napkins
Saucieren,
Sauciertje,
Sauciertjens,
Sauciertjes,
Sausieren,
Sausiertje,
sausiertjens,
scalen,
schaald,
Schaaltje,
schaaltjes,
Schaar,
schaartie,
schabel,
schabelletie,
Schabeltaefelken,
schaeffbeijtels,
Schaeffjens,
Schaefjens,
Schael,
Schaelen,
Schaeltgen,
schaeltiens,
Schaeltje,
Schaeltjes,
Schaer,
schaertje,
schaessen,
Schalen,
Scharen,
Scharffbort,
Schaven,
Schavotje,
Scheepjes,
scheepjesschillingen,
scheepschilderijtge,
scheepschilderijtjes,
Scheepsteeckeningen,
scheepvaertjes ,
Scheerbecken,Shaving basin
Scheerdoecken,
Scheerstoelen,
Scheijdingen,
Schel,
schelderije ,
Schelle,
Schelletje,
Schellingen,
schenckborden,
Schenckbortje,
Schenckkan,
Schencktaeffeltje,
Schenkbord,
schenktafelties,
schepbeckentje,
schepenenkennisse,
Schepenkennis,
Schepenkennissen,
Scherffbort,
Schilden,
Schildereij,Painting
Schildereijen,
Schildereijkens,
schildereijtjes,
Schilderie,Painting
Schilderien,Paintings
Schilderij,Painting
schilderijbortiens,
Schilderije,Painting
Schilderijen,Paintings
schilderijkassen,
schilderijken,Small painting
Schilderijkens,Small paintings
Schilderijtge,Small painting
Schilderijtgen,Small painting
Schilderijtgens,Small paintings
schilderijtges,Small paintings
Schilderijtie,Small painting
Schilderijtien,Small painting
Schilderijties,Small paintings
schilderijtje,Small painting
schilderijtjens,Small paintings
Schilderijtjes,Small paintings
schilderijtjes,Small paintings
schilderiken ,Small painting
schilderitge,Small painting
schilderitges,Small paintings
Schilderitje,Small painting
schildery,Painting
schilderye,Painting
Schilderyen,Paintings
schilderyken,Small painting
schilderytge,Small painting
schilderytgen,Small painting
schilderytgens ,Small paintings
Schilderytges,Small paintings
Schilderytie,Small painting
Schilderytje,Small painting
Schilderytjes,Small paintings
schilerijen,Paintings
Schillingen,
Schilpatskoffertje,
Schoen,
Schoenen,
schoengespen,
schoenneussen,
Schoentjes,
schokolaetkopjes,
Scholteltie,
Schoorsteen,
schoorsteencleetje,Small mantelpiece coverings
Schoorsteenkleden,Mantelpiece coverings
Schoorsteenkleet,Mantelpiece covering
schoorsteenvalletje,
Schoorsteeval,
Schootels,
schop,
Schopje,
schorsteenveger,
schorstiencleet,Mantelpiece covering
Schort,
Schorteldoecken,
Schorteldoek,Apron cloth
Schortt,
Schotelen,Dishes
schoteljes,Small dishes
Schotels,Dishes
schoteltjes,Small dishes
Schottelien,Dishes
schotteljes,Small dishes
Schottels,Dishes
schouwermantel,
Schraeghtaeffetlje,
Schragen,
schrijfcomptoirtje,
Schrijffalmanach,
Schrijffboeckjens,
Schroeven,
Schuijer,
Schuijmspaen,Skimmer
Schuijmspanen,Skimmers
Schuijntjens,
Schuimspaen,Skimmer
schulpschaelen,
Schultbrieff,
schurteldoeck,Apron cloth
Schutje,
Schutjens,
Schutt,
Schuttelen,
Schuyertje,
Schuymspaen,Skimmer
Secoup,
Secreetkoffertje,
Sedtbol,
Seef,Sieve
seeschilderijtje,
seinjoortie,
Sermoenboecken,
Sermoonboeck,
Servetgoet,
Servetten,Napkins
servies,
Servietpars,
Servietten,
Sethaeckpasser,
silver,Silver
silverdraat,
Silvergeldt,
silverwerck,
silverwerck,
Siocken,
Sitbanck,
Sitbancken,
Sitbanckje,
Sitstoelen,
Slaamantje,
Slaapbank,Sofa bed
slaaplaackens,
slaaplakens,
slaapmutsen,
Slaepbanck,Sofa bed
Slaeplaeckens,
Slaeplakens,
Slaepmuts,Night cap
Slaepmutsen,Night caps
Slaghhoralogie,
slaghlijnnen,
Slangh,
slangring,
Sleutelreex,Key sequence
Sleuteltje,
Sleuteltjens,
Slijpsteentjes,
Sloop,Case
Sloopen,Cases
Sloopjens,
slootje,
slootjens,
slootjes,
slopen,Cases
slot,Lock
Sloten,Locks
Sluijertjens,
Sluijtjas,
smaldoeck,
Smeltkroese,
Smeltring,
Snel,
snoerpaarlen,
snoertjen,
snuijdoosjes,
Snuijfdoos,
Snuijsteringh,
Snuijter,
Snuijterbackje,
Snuijters,
snuiter,
Socken,
soldaetsgeselschapje,
Soldertje,
somerhoetjes,
Somertje,
Soudtvat,Salt barrel
Sousiertie,
Souspannetje,Small sauce pan
Sout,Salt
soutvaet,Salt barrel
Soutvaetje,Small salt barrel
Soutvaetjens,Small salt barrels
Soutvaetjes,Small salt barrels
Soutvat,Salt barrel
Soutvaten,Salt barrels
Souvadt,Salt barrel
Spawaterskannen,
Speck,
Speckcuijpgens,
Speckkuijpje,
Speelwagen,
Speetje,
Speldekussentje,
spelden,
speldesackijen,
Spelkom,
Spiegel,Mirror
spiegeltgen,Small mirror
Spiegeltie,Small mirror
spiegeltjen,Small mirror
Spijkerlaa,
Spinnewiel,Spinning wheel
Spit,
Splintermantien,
spocerij,
Spoelkom,
spoelkommen,
spoelkommeties,
spokerij,
spokerije,
spokerytje,
sponingschaven,
Spoten,
Spree,Bedspread
Spreen,
Spreetje,Small bedspread
Sprei,Bedspread
Spreij,Bedspread
spreitjen,Small bedspread
Spuijt,
Spupotje,
Spuwpotje,
Staecker,
Stallen,
Stamper,
Stampers,
Standaert,
Standert,
statue,
Steecbijl,
Steel,
Steelen,
Steen,
Steenbeelt,
steenen,
steentjens,
steentjes,
Stel,
Stellagiehout,
Stempels,
Sticklijff,
Stier,
stiffjens,
Stiften,
stiftjes,
Stileven,Still life
stillevens ,Still lifes
stilleventje,Small still life
stillleven,Still life
Stock,Stick
Stocken,Sticks
Stoel,Chair
Stoelcussens,Chair pillows
Stoelemakerssaegh,
Stoelen,
Stoelkussens,
Stoellen,Chairs
Stoelpot,
Stoeltje,Small chair
Stoeltjens,Small chairs
Stoffen,
Stoffer,
Stolp,
Stolpbord,
Stolpborden,
Stolpen,
Stooff,
Stooffpan,Stewing pan
Stooffpansdexel,
stooffpasjen,
stooffploegjens,
Stooters,
Stooven,
stopseltie,
stormhoedt,
Stormzeestuckjens,
Stoven,
Strandschilderijtje,
Strandtschilderijtje,
Strantschilderijtje,
strickijen,
strickijes,
Strijckijser,Flatiron
strijckiser,Flatiron
strijkijsers,Flatirons
strikjes,
strikken,
Stroo,
Stroohoet,Straw hat
Strookaper,
Stroomatras,
Stuck,
Stucke,
stucken,
stuckge,
stuckgen ,
stuckijen,
stuckijens,
Stuckje,
Stuckjens,
stuckxiens,
stuckxken,
Studeermannetje,
Stuijvers,
Stulp,
Suijckerpotten,
Suijker,Suger
suijkerbroot,
Suijkerpot,Sugar bowl
suijkerpott,Sugar bowl
Suijkerpotte,Sugar bowl
suijkerschoteltie,
Swachtel,
swaeijen,
swaenties,
tabackdrinckers,
tabackstoppertjen,
Tabacxdoosje,
Tabak,Tobacco
Tabaksconfoor,
Tabaksconvoir,
tabaksconvoortie,
Tabaksdoos,Tobacco box
Tabaxdoos,Tobacco box
tabaxroockertje,
Tabbaert,
Tabbaertgen,
Tabbart,
Tabeletje,
Tabriel,
tabrieltien,
Taefel,Table
Taefelborden,
Taefellaecken,
Taefeltgen,
taefereel,
taefereelken,
taefereelswijse,
taefereeltgen ,
Taeffel,Table
Taeffelborden,
Taeffelbort,
Taeffelcleet,Tablecloth
Taeffelkandelaers,
Taeffellaeckens,
Taeffellakens,
Taeffeltje,
taeffereel,
Taeffetlje,
Taertpan,
Tafelblad,
Tafelborden,
tafelgoet,
Tafelkleed,Tablecloth
Tafelkleetje,Small tablecloth
tafellaacken,Tablecloth
tafellackentjens,Small tablecloths
Tafellakens,Tablecloths
Tafelmat,
Tafels,
Tafeltie,
tafeltjen,
Tafereel,
tafereeltje,
Taferreel ,
Taffeltje,
taffereel ,
taffereeltje,
tafreeltge,
Tandestoocker,Toothpick
Tandestoockertje,Little toothpick
Tandestoockertjes,Little toothpicks
Tang,Tongs
Tangen,
Tangetje,
Tangh,Tongs
Tantstoker,Toothpick
Tapijt,Tapestry
tapijtie,Little tapestry
tapijtschilderij,
Tas,
Tasje,
Tassen,
teckening,
teckeningen,
Tee,
Teeckeninckjens ,
Teeckeningh,Painting
teepot,Teapot
teetafeltie,
teickeningh ,Painting
Teijckening,Painting
teijckeninge ,Painting
teijckeningen,Paintings
Teijckeningh,Painting
teijkeningen,Paintings
Tekeningen,Paintings
telioren,
teljoortjes,
Teljoren,
Tessje,
test,
Testament,
testamentjen,
testamintje,
Thee,
theeblaadje,
Theegoed,
Theegoet,
Theeketels,Teakettle
theetabeletje ,
Thresoor,
tierentaij,
Tijntjes,
tobackdrincker,Painting of a tobacco smoker and drinker
tobackdrinckers,Painting of a tobacco smokers and drinkers
Tobackdrinckertjes,Painting of a tobacco smokers and drinkers
tobackdrinckster,Painting of a tobacco smoker and drinker
tobackrookertje,Painting of a tobacco smoker
Tobacksuijger,
Tobacxdoos,
Tobbe,Tub
Tobben,Tubs
Tobbens,Tubs
Tobbetge,Small tub
Tobbetje,Small tub
toebacxmannetje,Painting of a tobacco smoker and drinker
Toneel,
Tonnestoel,
tonnetie,Little barrel
Tonnetje,Little barrel
toonback,Counter
Toonbanck,Counter
Tooneel,
Toonneel,
Toubackdrincker,
Tovenaartje,
Toverijtge,
Tractaet,
Tractaetjens,
Tractaten,
Trapje,
Trebelet,
trebeletijzers,
Trechter,Well
Treckmutsen,
Treckpijcken,
Trecktaeffel,
Trecktaeffeltje,
Trecktafel,
Treeft,
Tregter,Well
Trekbank,
Trekpars,
trekpot,
Trekpotje,
trekpotjes,
Trekpotten,
Trepotjes,
Tresoor,
Tresoortje,
tresoortjen,
Tresoortjes,
Tresoren,
triumph-boeck,
Trommel,
Trommeltje,
Troni,
Tronie,
tronien,
troniens ,
Tronijtge,
tronitge,
tronitgens,
Tronitges,
Tronitie,
Tronitien,
tronitjes ,
tronje,
trony ,
tronybordekens,
tronye,
tronyebordekens,
tronyen ,
Tronyetiens,
tronys,
Tronytge,
Tronytgen,
tronytgens,
tronytiens,
Tronytje,
Tronytjens,
Troonie,
Troupenningh,
Trouwpenning,
Tuijchje,
Tuijgen,
Tuijgers,
Tuijgh,
tuijghje,
tuijtflesjen,
tuijtkannetie,
Tuijtkannetje,
Tuijtkannetjens,
Tuijtvles,
Turf,Peat
Turff,Peat
Turfftonnetje,Little peat barrel
uijthanckbort,
Uijthanghbeckens,Sign board
Urewercken,Clocks
Vaendel,
vaendrager,
Vaetje,Keg
Vaetjens,Little kegs
Vaetwerck,
Val,
Valhoetje,
valletge,
Valletgen,
valletie,
valleties,
Valletje,
Valletjens,
valletjes,
vanetas,Vanitas painting
Vanitas,Vanitas painting
Vat,
Vatgen,
Vatjens,
veegertjes,
Vell,
Vellen,
Veltbeeckertje,
vensters,
Verciersel,
Vergiettessje,
Verlichterije,
Vierendels,
Vierpotje,
Vijle,
Vijlen,
Vijsel,Mortar
Vijsseltje,
Vijzels,Mortars
Vingerhoeden,Thimbles
Vingerhoet,Thimble
vinnesoen,
Viool,
Visbortje,Fish plate
Vischbortje,Small fish plate
Vischketel,Meat boiler
Visketel,Meat boiler
Visketels,Meat boilers
Visketeltje,Little meat boiler
visschilderijtge,Small painting of fish
Visserijtgen,Painting of fish
Vleeschkuijp,Meat tub
Vleesgaffel,Meat fork
Vleesketel,Meat boiler
Vleeskuijpje,Little meat tub
Vleespot,Meat pot
Vleesvadt,Meat barrel
Vleijscuyp,Meat tub
Vleijskuijp,Meat tub
Vleijsvadt,Meat barrel
Vleijsvat,Meat barrel
vleiskuijp,Meat tub
Vles,Bottle
Vlesje,Little bottle
vlesjes,Little bottles
Vlessen,Bottles
vlesten,
Vlieger,
Vliegher,
Vlieghers,
Vloermatten,
Voetbanckjen,
Voetflesch,
Voetjens,
Voetstoven,
Voetvlesje,
vogelkooijtjens,Little bird's cages
vogelkouw,Bird's cage
Vogelkouwen,Bird's cages
Vogelkouwetjens,Little bird's cages
Vogelstruijseijerdoppe,Egg shells of an ostrich
Voorlopers,
Voormouwen,
voorschoden,
voorschort,
Voorstoven,
Vorck,Fork
Vorckien,Forks
Vorckje,
vorkje,
Vorm,
Vormborden,
Vormuijs,
Vossedeecken,
Vossenstaerten,
Vroedschapspenning,
Vroedschapspenning,
vrongh,
Vrouwegoet,Women's clothes
vrouwehantschoenen,
Vrouwehorloge ,
Vrouweklederen,Women's clothes
Vrouwenbeelde,
vrouwenbeeltien ,
vrouwenconterfeijtsels,Painting of a woman
Vrouwenhemden,
Vrouwenhemdt,
Vrouwestoel,
vrouwetroni,Portrait of woman
Vrouwetronie,Portrait of woman
vrouwetronien,Portraits of women
Vuurplaet,
Vuurtest,
Waefelijser,Waffle-iron
Waeffelijser,Waffle-iron
wafelijser,Waffle-iron
Wagens,
waijer,
Wambas,Jerkin
Wambasje,
Wambassen,
Wandelstock,Walking stick
Wandelstocken,Walking sticks
Wanten,Mittens
Wapen,
Wapenbordt,Coat of arms
wapenbort,Coat of arms
Wapenbortje,Little coat of arms
Wapenringen,
Wapens,Weapons
wapentje,
Warmoesschottelien,
Waschbecken,
Waslichtskandelaer,
Wastobben,
Wastobbens,
watercasteeltje,
Wateremmer,Water bucket
Wateremmers,Water buckets
Waterkens,
Waterpot,
Waterpott,
Waterpotten,
Waterspuijt,
watertge ,
Watertgen,
watertien,
Watertje,
watervles,
Weeghdeeckenties,
Weeghkussenties,
Weereltcaerte,
weerglas,
wercken,
Werckradt,
Weringh,
Werkbanken,
Wetbanckje,
wiegh,
Wijn,
Wijnborden,
Wijnglaasen,
wijnglase,Wine glass
Wijnkan,Wine jug
wijnkanne,Wine jug
Wijnkannetje,Wine jug
wijnkannetjens,Wine jugs
Wijnpinte,Wine pint
wijnschaeltje,
Wijnsteen,
Wijtschip,
Wijwatersvaetje,
Wijwatervatgen,
Winterken,Painting of a winter landscape
Winterstuckje,Painting of a winter landscape
wintertien ,Painting of a winter landscape
Wintertje,Painting of a winter landscape
Wintertjen,
Wollegoet,
Wollen,
zakmesje,Pocket knife
zeeattlas,Sea atlas
Zeebatalie,Painting of a sea battle
zeekasteeltje,
zeeschilderijtgens,Little marine painting
zeeschilderijtje,Little marine painting
Zeestormpje,
Zeestormtje,
Zeestuck,Marine painting
Zeestucken,Marine painting
Zeestuckens,Marine paintings
zeestuckien,Marine painting
Zeestuckje,Marine painting
Zeestuckjes,Marine paintings
Zeetge,Marine painting
Zeetgen,Marine painting
Zeetje,Marine painting
Zeetjes,Marine paintings
zeevaertge,
Zeevaertje,
Zeijlen,
