Standaard,Aangetroffen
boerengezelschap,Boeregeselschap
boerengezelschapje,Boeregeselschapje
boerengezelschapjes,boeregeselschapjens
boerenkaartspel,boerekaertspel
boerenkermis,Boerekermis
boerenkeukentje,Boerekeukentie
boerenkeuken,Boerekoocken
boerenkeukentje,Boerekoockentje
boerenmaaltijd,boeremaltijd 
boeren,boeren
boerentapijt,Boeren tapijt
boerenkeukentje,boerencokentge
boerendans,boerendans
boerengezang,boerengesangh
boerengezelschapjes,Boerengeselschapjens
boerenhuis,Boerenhuijs
boerenhuis,Boerenhuys
boerenschuurtje,boerenschuurtge
boerenschotels,Boereschotels
boerenschuur,boereschuyr
boerenvrijage,boerevrijagie
boerinnentronie,Boerinetronie
boerinnetje,boerinnetgen
boerinnetje,Boerinnetje 
boertje,Boertje
boertjes,Boertjens
boezelaars,boeselaars
boezelaarsgoed,boeselaersgoet
bouteilles,Boeteljens
bouteilles,Boeteljes
boterschotel,boeterschotel
bokaal,bokael 
bombazijn,bombasijn
bombazijn,bombazijn
bundeltje,Bondeltje
bundeltjes,Bondeltjens
bont,Bont
boommutsen,Boommutsen
boord,Boord
boren,booren
boorijzers,boorijsers
boorschaven,boorschaven
boord,Boort
boordje,Boortgen
boordjes,Boortiens
boot,boot
bootje,bootje
bootje,Bootje
bordeeltje,bordeeltgen
bordeeltje,Bordeeltje
bordje,Bordeken
bordjes,Bordekens
bordeeltje,bordeltgen
borden,Borden
bordje,bordtje 
bordjes,Bordtjens
borduurwerk,borduerwerck 
boren,Boren
bordjes,boretges
bordje,Borretge
bordjes,borretgens 
bordjes,Borretiens
bordjes,Borritges
borst,Borst
borstel,Borstel
borsten,Borsten
borstflesjes,Borstflesjes
borsthemdjes,Borsthembtjens
borstkannetje,Borstkannetje
borstrok,Borstrock
borstrokken,Borstrocken
borstrokjes,Borstrockjens
borstrokjes,Borstrockjes
borstrokken,Borstroken
borstrokken,borstrokken
bord,Bort
borden,Borten
bordje,Bortge
bordje,Bortgen
bordjes,Bortgens
bordjes,Bortges
bordjes,bortichis
bordje,Bortien
bordjes,Bortiens
bordjes,Borties
bordje,Bortje
bordje,bortjen
bordjes,Bortjens
bordjes,Bortjes
bords,Borts
buskruitmaten,Boschkruijtmaeten
bosjes,Bosgens
bosjes,Bosjens
bossage,Bosschaetje
bossageschilderij,Bosschagieschilderij
bot,Bot
boterpot,boterpot
boterpotje,Boterpotje
boterpotjes,Boterpotjens
boterschaal,Boterschael
boterschoteltjes,boterscholtjes
boterschotel,Boterschotel
boterschotels,boterschotelen
boterschoteltjes,Boterschotelgens
boterschotels,Boterschotels
boterschoteltjes,Boterschoteltjens
boterpot,Botterpot
borat,Bourat
bouteilles,Bouteljes
bouten,Bouten
bout,Boutt
bouwen,Bouwen
bovenmutsje,Bovenmutsje
braadpan,Braatpan
Brabantse,Brabandze
Brabants,Brabants
Brabantse,Brabantse
braadlepel,Braedlepel
braadpan,Braedtpan
braadwerk,Braedwerck
breeuwijzers,braemijsers
braadpan,Braetpan
braadpan,Braetpanne
braadpannen,Braetpannen
braadpannetje,braetpannetje
braadspit,Braetspit
bragoenen,Bragoenen
branders,Branders
brandijzer,Brandijser
brandijzers,Brandijsers
brandemmers,Brandtemmers
