oock	82348		82348	0.00110261	ngram	1	0.00113935
soude	81751		81751	0.00109462	ngram	1	0.00113109
Op	81406		81406	0.00109	ngram	1	0.00112632
dese	80903		80903	0.00108326	ngram	1	0.00111936
syn	80066		80066	0.00107205	ngram	1	0.00110778
somme	79360		79360	0.0010626	ngram	1	0.00109801
om	79305		79305	0.00106187	ngram	1	0.00109725
Compt	78949		78949	0.0010571	ngram	1	0.00109232
sijnde	78842		78842	0.00105567	ngram	1	0.00109084
sonder	78536		78536	0.00105157	ngram	1	0.00108661
voorss	77091		77091	0.00103222	ngram	1	0.00106661
'	76123		76123	0.00101926	ngram	1	0.00105322
alles	75287		75287	0.00100807	ngram	1	0.00104165
selve	73166		73166	0.000979666	ngram	1	0.00101231
2	72931		72931	0.00097652	ngram	1	0.00100906
hare	72904		72904	0.000976158	ngram	1	0.00100868
hebbende	72864		72864	0.000975623	ngram	1	0.00100813
't	69651		69651	0.000932602	ngram	1	0.000963676
a	69510		69510	0.000930714	ngram	1	0.000961725
drie	66577		66577	0.000891442	ngram	1	0.000921145
allen	66562		66562	0.000891241	ngram	1	0.000920937
schip	65677		65677	0.000879391	ngram	1	0.000908693
Van	65279		65279	0.000874062	ngram	1	0.000903186
hen	64631		64631	0.000865386	ngram	1	0.000894221
nae	64120		64120	0.000858544	ngram	1	0.00088715
nots	63849		63849	0.000854915	ngram	1	0.000883401
/	63704		63704	0.000852974	ngram	1	0.000881395
geen	63371		63371	0.000848515	ngram	1	0.000876787
hun	61763		61763	0.000826984	ngram	1	0.000854539
stad	60927		60927	0.000815791	ngram	1	0.000842973
zij	60704		60704	0.000812805	ngram	1	0.000839887
Amsterdam	59523		59523	0.000796992	ngram	1	0.000823547
J	58197		58197	0.000779237	ngram	1	0.000805201
e	58173		58173	0.000778916	ngram	1	0.000804869
sy	57779		57779	0.00077364	ngram	1	0.000799418
Cornelis	56643		56643	0.000758429	ngram	1	0.0007837
Compareerde	56163		56163	0.000752002	ngram	1	0.000777059
int	56107		56107	0.000751253	ngram	1	0.000776284
)	56034		56034	0.000750275	ngram	1	0.000775274
deses	55735		55735	0.000746272	ngram	1	0.000771137
